latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.56419,23.29666,297.42,0.56,0.43,2020-01-01,0043,N,VIIRS,n,2,276.37,1.03,N,2
38.03834,23.51212,303.25,0.39,0.44,2020-01-01,0043,N,VIIRS,n,2,279.81,1.49,N,2
41.00486,23.99586,342.05,0.69,0.74,2020-01-02,1006,N,VIIRS,n,2,278.53,10.39,D,0
41.00456,23.99543,338.36,0.69,0.74,2020-01-02,1006,N,VIIRS,n,2,278.53,6.89,D,0
40.84547,22.9046,352.72,0.78,0.78,2020-01-02,1006,N,VIIRS,n,2,278.18,6.96,D,0
39.80575,21.53427,333.84,0.47,0.4,2020-01-02,1146,N,VIIRS,n,2,286.36,4.51,D,0
41.21672,23.35839,340.67,0.39,0.44,2020-01-02,1146,N,VIIRS,n,2,283.92,8.22,D,0
39.7397,20.7241,329.41,0.44,0.38,2020-01-02,1146,N,VIIRS,n,2,283.61,3.06,D,0
41.13345,23.34268,332.29,0.39,0.44,2020-01-02,1146,N,VIIRS,n,2,281.84,3.22,D,0
41.21268,23.35907,338.68,0.39,0.44,2020-01-02,1146,N,VIIRS,n,2,284.41,4.23,D,0
39.79354,21.52545,327.6,0.47,0.4,2020-01-02,1146,N,VIIRS,n,2,282.48,6.74,D,0
41.70613,26.17299,339.23,0.54,0.51,2020-01-02,1146,N,VIIRS,n,2,282.77,6.54,D,0
41.70806,26.26767,342.33,0.55,0.51,2020-01-02,1146,N,VIIRS,n,2,285.48,148.41,D,0
38.12967,23.52658,299.15,0.43,0.38,2020-01-03,0005,N,VIIRS,n,2,276.69,0.9,N,2
36.81227,22.49414,326.03,0.39,0.36,2020-01-03,1126,N,VIIRS,n,2,286.96,2.34,D,0
40.2444,23.30629,333,0.39,0.36,2020-01-03,1127,N,VIIRS,n,2,285.02,2.53,D,0
40.88409,22.40682,327.07,0.39,0.36,2020-01-03,1127,N,VIIRS,n,2,284.89,1.89,D,0
40.21197,21.37499,336.73,0.39,0.36,2020-01-03,1127,N,VIIRS,n,2,281.32,3.17,D,0
38.8591,22.49157,326.76,0.38,0.36,2020-01-03,1127,N,VIIRS,n,2,272.86,2.2,D,0
39.99696,25.39107,332.26,0.44,0.38,2020-01-03,1127,N,VIIRS,n,2,279.68,2.15,D,0
41.00144,22.10186,327.47,0.39,0.36,2020-01-03,1127,N,VIIRS,n,2,282.71,2.42,D,0
40.06768,22.19582,332.41,0.48,0.4,2020-01-04,1108,N,VIIRS,n,2,291.4,5.35,D,0
40.04776,22.13173,344.71,0.48,0.4,2020-01-04,1108,N,VIIRS,n,2,294.94,19.39,D,0
37.72242,21.78033,328.28,0.54,0.42,2020-01-04,1108,N,VIIRS,n,2,285.25,3.32,D,0
37.22307,21.6554,329.81,0.56,0.43,2020-01-04,1108,N,VIIRS,n,2,285.69,3.65,D,0
40.57589,22.798,325.16,0.45,0.39,2020-01-04,1108,N,VIIRS,n,2,286.58,2.32,D,0
41.30857,26.23319,329.27,0.38,0.36,2020-01-04,1108,N,VIIRS,n,2,285.1,2.84,D,0
40.63761,21.73775,328.68,0.48,0.4,2020-01-04,1108,N,VIIRS,n,2,283.56,3.38,D,0
41.0321,25.53337,328.49,0.39,0.36,2020-01-04,1108,N,VIIRS,n,2,286.11,2.16,D,0
41.10869,26.3257,335.4,0.38,0.36,2020-01-04,1108,N,VIIRS,n,2,284.75,2.23,D,0
40.06654,22.19459,336.35,0.48,0.4,2020-01-04,1108,N,VIIRS,n,2,290.41,5.73,D,0
39.53238,20.22753,336.31,0.58,0.7,2020-01-06,1031,N,VIIRS,n,2,282.11,3.53,D,0
40.87579,22.92256,336.45,0.39,0.6,2020-01-06,1031,N,VIIRS,n,2,278.91,5.45,D,0
41.10117,23.37976,349.56,0.37,0.58,2020-01-06,1031,N,VIIRS,n,2,282.66,3.1,D,0
40.6855,22.66581,326.58,0.41,0.61,2020-01-06,1031,N,VIIRS,n,2,279.42,2.1,D,0
40.66422,22.67601,339.06,0.41,0.61,2020-01-06,1031,N,VIIRS,n,2,280.1,5.29,D,0
40.94519,23.55589,336.3,0.42,0.61,2020-01-06,1211,N,VIIRS,n,2,282.39,8.31,D,0
40.93949,23.5562,356.29,0.42,0.61,2020-01-06,1211,N,VIIRS,l,2,284.84,8.31,D,0
40.67049,22.69883,333.84,0.37,0.58,2020-01-06,1211,N,VIIRS,n,2,281.08,4.5,D,0
41.12223,23.34918,315.15,0.4,0.37,2020-01-07,0029,N,VIIRS,n,2,272.59,1.59,N,0
