latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.36574,26.20444,327.75,0.41,0.37,2023-01-07,1103,N,VIIRS,n,2,291.26,2.69,D,0
39.36581,26.20276,330.04,0.41,0.37,2023-01-07,1103,N,VIIRS,n,2,290.64,3.07,D,0
38.2156,26.05795,328.21,0.42,0.38,2023-01-07,1103,N,VIIRS,n,2,291.35,1.27,D,0
40.70665,22.71588,327.95,0.51,0.41,2023-01-07,1104,N,VIIRS,n,2,287.49,2.17,D,0
40.46996,21.13044,337.79,0.4,0.44,2023-01-07,1104,N,VIIRS,n,2,282.35,3.69,D,0
41.07634,23.34704,328.49,0.47,0.4,2023-01-07,1104,N,VIIRS,n,2,287.37,2.34,D,0
41.10389,23.39066,326.66,0.47,0.4,2023-01-07,1104,N,VIIRS,n,2,286.85,4.27,D,0
40.59775,22.82027,345.03,0.5,0.41,2023-01-07,1104,N,VIIRS,n,2,289.79,6.53,D,0
40.59761,22.81838,337.52,0.5,0.41,2023-01-07,1104,N,VIIRS,n,2,289.57,6.58,D,0
41.10262,25.25772,330.7,0.41,0.37,2023-01-07,1104,N,VIIRS,n,2,291.94,9.69,D,0
40.86469,23.82345,332.77,0.46,0.39,2023-01-07,1104,N,VIIRS,n,2,288.66,12.53,D,0
40.69846,22.77103,326.57,0.5,0.41,2023-01-07,1104,N,VIIRS,n,2,288.25,2.46,D,0
37.91796,23.07162,298.67,0.32,0.55,2023-01-08,0103,N,VIIRS,n,2,283.74,1.2,N,2
40.45183,21.54919,350.4,0.33,0.55,2023-01-08,1045,N,VIIRS,n,2,283.43,5.12,D,0
40.44696,21.55131,367,0.33,0.55,2023-01-08,1045,N,VIIRS,h,2,290.29,7.16,D,0
38.87349,22.49037,335.28,0.52,0.67,2023-01-08,1225,N,VIIRS,n,2,287.67,5.99,D,0
38.87,22.4874,336.51,0.53,0.67,2023-01-08,1225,N,VIIRS,n,2,288.19,6.49,D,0
40.45039,21.54996,342.43,0.48,0.65,2023-01-08,1226,N,VIIRS,n,2,285.75,6.58,D,0
40.70289,22.69838,337.12,0.55,0.68,2023-01-08,1226,N,VIIRS,n,2,287.76,3.86,D,0
40.44437,21.55091,342.23,0.48,0.65,2023-01-08,1226,N,VIIRS,n,2,288.16,7.72,D,0
38.37445,24.06244,302.47,0.41,0.45,2023-01-09,0044,N,VIIRS,n,2,279.69,1,N,2
35.24986,24.61069,337.07,0.35,0.57,2023-01-09,1205,N,VIIRS,n,2,285.61,3.19,D,0
37.59577,24.31643,325.61,0.36,0.57,2023-01-09,1206,N,VIIRS,n,2,286.1,1.73,D,0
37.57389,21.56265,336.39,0.5,0.49,2023-01-09,1206,N,VIIRS,n,2,289.92,4.45,D,0
39.16946,25.96824,367,0.45,0.63,2023-01-09,1206,N,VIIRS,h,2,293.09,8.78,D,0
40.32252,22.55169,327.79,0.61,0.53,2023-01-09,1207,N,VIIRS,n,2,285.69,3.45,D,0
38.37244,24.06107,301.15,0.42,0.38,2023-01-11,0007,N,VIIRS,n,2,277.83,0.82,N,2
37.92139,23.07269,295.43,0.67,0.74,2023-01-12,0128,N,VIIRS,n,2,279.38,2.09,N,0
37.921,23.06575,318.73,0.45,0.63,2023-01-12,2329,N,VIIRS,n,2,279.91,2.01,N,0
40.48186,21.12597,328.55,0.54,0.42,2023-01-15,1154,N,VIIRS,n,2,283.77,2.88,D,0
38.11694,21.45982,327.88,0.52,0.42,2023-01-15,1154,N,VIIRS,n,2,287.82,4.25,D,0
38.12986,23.52501,296.14,0.4,0.37,2023-01-16,0013,N,VIIRS,n,2,277.06,0.57,N,2
37.91829,23.07244,298.48,0.4,0.37,2023-01-16,0013,N,VIIRS,n,2,283.28,1,N,2
38.37479,24.06368,296.28,0.55,0.43,2023-01-16,2354,N,VIIRS,n,2,282.65,0.9,N,2
40.28401,23.44548,298.44,0.42,0.61,2023-01-18,0115,N,VIIRS,n,2,282.24,0.62,N,2
39.16512,22.84461,302.64,0.42,0.61,2023-01-18,0116,N,VIIRS,n,2,282.33,1.52,N,0
38.88201,22.48605,329.07,0.44,0.46,2023-01-18,1057,N,VIIRS,n,2,288.98,2.69,D,0
39.41755,22.44476,337.54,0.43,0.46,2023-01-18,1057,N,VIIRS,n,2,289.61,2.5,D,0
38.93478,22.15886,333.65,0.46,0.47,2023-01-18,1057,N,VIIRS,n,2,289.59,3.77,D,0
37.68848,22.8196,346.14,0.45,0.47,2023-01-18,1057,N,VIIRS,n,2,287.78,5.89,D,0
39.39852,22.24247,336.93,0.44,0.46,2023-01-18,1058,N,VIIRS,n,2,291.72,4.38,D,0
41.37637,26.37239,297.19,0.32,0.55,2023-01-19,0056,N,VIIRS,n,2,273.52,0.5,N,0
38.37459,24.06211,295.42,0.59,0.53,2023-01-19,0057,N,VIIRS,n,2,285.12,0.66,N,2
38.37175,24.06127,295.06,0.59,0.53,2023-01-19,0057,N,VIIRS,n,2,284.63,1.02,N,2
40.28357,23.44408,295.45,0.49,0.49,2023-01-19,0057,N,VIIRS,n,2,283.32,0.6,N,2
40.99268,23.90204,326.2,0.58,0.52,2023-01-19,1039,N,VIIRS,n,2,289.98,3.51,D,0
38.46703,22.9527,330.67,0.37,0.58,2023-01-19,1039,N,VIIRS,n,2,291.87,2.01,D,0
38.83162,22.53042,347.45,0.38,0.59,2023-01-19,1039,N,VIIRS,n,2,289.88,6.98,D,0
39.28069,22.24549,354.9,0.39,0.59,2023-01-19,1039,N,VIIRS,n,2,293.27,5.8,D,0
39.59768,22.45797,367,0.37,0.58,2023-01-19,1039,N,VIIRS,h,2,302.33,21.13,D,0
39.59657,22.4538,326.16,0.37,0.58,2023-01-19,1039,N,VIIRS,n,2,290.78,7.33,D,0
39.60281,22.45566,356.94,0.37,0.58,2023-01-19,1039,N,VIIRS,l,2,288.53,8.61,D,0
39.8998,22.64512,329,0.36,0.57,2023-01-19,1039,N,VIIRS,n,2,291.66,2.21,D,0
39.89877,22.64366,325.33,0.36,0.57,2023-01-19,1039,N,VIIRS,n,2,291.16,1.42,D,0
40.85954,24.78577,340.4,0.53,0.5,2023-01-19,1039,N,VIIRS,n,2,291.28,13.11,D,0
40.65128,22.6237,367,0.34,0.56,2023-01-19,1039,N,VIIRS,h,2,300.61,23.71,D,0
40.65623,22.62146,356.98,0.34,0.56,2023-01-19,1039,N,VIIRS,l,2,276.16,8.09,D,0
40.98963,23.90498,332.61,0.58,0.52,2023-01-19,1039,N,VIIRS,n,2,290.58,3.67,D,0
40.96241,23.77507,339.09,0.59,0.53,2023-01-19,1039,N,VIIRS,n,2,290.42,8.39,D,0
40.96007,23.77445,343.66,0.59,0.53,2023-01-19,1039,N,VIIRS,n,2,290.3,7.62,D,0
35.39376,23.98894,328.6,0.49,0.65,2023-01-19,1218,N,VIIRS,n,2,290.41,3.05,D,0
39.15363,22.8324,350.22,0.45,0.63,2023-01-19,1219,N,VIIRS,n,2,290.58,4.29,D,0
39.0967,22.82991,326.68,0.45,0.63,2023-01-19,1219,N,VIIRS,n,2,290.7,4.23,D,0
38.53667,22.98346,341.55,0.46,0.63,2023-01-19,1219,N,VIIRS,n,2,290.94,4.21,D,0
38.48267,22.97048,355.01,0.46,0.63,2023-01-19,1219,N,VIIRS,n,2,296.25,18,D,0
38.48289,22.97588,329.94,0.46,0.63,2023-01-19,1219,N,VIIRS,n,2,291.72,16.51,D,0
38.47158,23.14042,338.36,0.47,0.64,2023-01-19,1219,N,VIIRS,n,2,286.55,5.88,D,0
39.23938,22.23972,327.99,0.42,0.61,2023-01-19,1219,N,VIIRS,n,2,290.8,5.88,D,0
38.41994,22.97925,332.76,0.46,0.63,2023-01-19,1219,N,VIIRS,n,2,293.78,2.48,D,0
38.42367,22.97952,340.68,0.46,0.63,2023-01-19,1219,N,VIIRS,n,2,293.21,4.07,D,0
39.2408,22.23678,353.6,0.42,0.61,2023-01-19,1219,N,VIIRS,n,2,290.37,5.44,D,0
40.87812,23.6673,341.1,0.51,0.66,2023-01-19,1220,N,VIIRS,n,2,287.99,6.44,D,0
40.51117,21.7258,330.94,0.41,0.6,2023-01-19,1220,N,VIIRS,n,2,288.32,3.13,D,0
40.52987,22.63379,340.99,0.45,0.63,2023-01-19,1220,N,VIIRS,n,2,288.03,5.99,D,0
40.59795,22.63209,351.52,0.45,0.63,2023-01-19,1220,N,VIIRS,n,2,287.69,9.74,D,0
40.59484,22.63021,346.63,0.45,0.63,2023-01-19,1220,N,VIIRS,n,2,288.19,9.31,D,0
39.16799,22.84109,300.15,0.54,0.42,2023-01-22,0001,N,VIIRS,n,2,278.36,1.86,N,2
38.47805,22.98106,325.01,0.39,0.36,2023-01-22,1122,N,VIIRS,n,2,293.88,2.03,D,0
38.53372,22.98489,333.43,0.39,0.36,2023-01-22,1122,N,VIIRS,n,2,294.36,2.44,D,0
40.76929,23.91933,332.45,0.39,0.36,2023-01-22,1123,N,VIIRS,n,2,288.54,2.82,D,0
35.28271,24.54726,352.64,0.38,0.43,2023-01-26,1147,N,VIIRS,n,2,293.65,6.98,D,0
35.2867,24.54638,355.5,0.38,0.43,2023-01-26,1147,N,VIIRS,n,2,289.23,6.98,D,0
35.33327,25.33572,330.37,0.42,0.38,2023-01-28,1109,N,VIIRS,n,2,290.34,2.75,D,0
38.03476,23.50341,301.19,0.76,0.77,2023-01-29,2310,N,VIIRS,n,2,278.77,2.87,N,0
38.0393,23.51141,297.26,0.43,0.38,2023-01-31,0032,N,VIIRS,n,2,280.33,1.13,N,2
40.70617,22.81407,295.12,0.43,0.38,2023-02-01,0013,N,VIIRS,n,2,274.29,0.59,N,2
39.16634,22.84332,296.16,0.42,0.37,2023-02-01,0013,N,VIIRS,n,2,273.55,1.04,N,2
38.12843,23.52599,296.92,0.4,0.37,2023-02-01,0014,N,VIIRS,n,2,276.94,0.58,N,2
39.16916,22.83964,329.6,0.41,0.37,2023-02-01,1135,N,VIIRS,n,2,290.18,1.88,D,2
38.87012,22.48422,340.41,0.42,0.38,2023-02-02,1116,N,VIIRS,n,2,288.37,4.11,D,0
38.99986,23.13882,329.48,0.41,0.37,2023-02-02,1116,N,VIIRS,n,2,288.7,2.12,D,0
40.94194,24.90506,328.81,0.38,0.36,2023-02-02,1117,N,VIIRS,n,2,286.73,2.82,D,0
40.94263,24.90959,329,0.38,0.36,2023-02-02,1117,N,VIIRS,n,2,287.35,4.26,D,0
41.07125,23.42767,330.35,0.39,0.36,2023-02-02,1117,N,VIIRS,n,2,286.58,1.83,D,0
40.90755,23.80202,329.75,0.39,0.36,2023-02-02,1117,N,VIIRS,n,2,289.64,2.19,D,0
40.28639,23.44346,298.22,0.37,0.58,2023-02-02,2335,N,VIIRS,n,2,276.55,0.54,N,2
38.37203,24.06042,297.77,0.33,0.55,2023-02-02,2336,N,VIIRS,n,2,280.16,0.68,N,2
37.91864,23.07078,295.54,0.47,0.64,2023-02-03,0116,N,VIIRS,n,2,282.23,1.27,N,2
40.55987,22.68578,346.92,0.4,0.44,2023-02-03,1058,N,VIIRS,n,2,285.3,5.7,D,0
35.35023,23.64727,327.94,0.42,0.61,2023-02-04,1038,N,VIIRS,n,2,278.02,2.71,D,0
40.7052,23.1444,326.17,0.32,0.55,2023-02-04,1039,N,VIIRS,n,2,283.66,0.78,D,0
40.97926,24.84955,328.26,0.38,0.44,2023-02-06,1142,N,VIIRS,n,2,279.86,3.19,D,0
40.58735,22.70187,329.46,0.46,0.39,2023-02-06,1142,N,VIIRS,n,2,282.31,3.48,D,0
41.03839,24.04953,341.23,0.53,0.42,2023-02-06,1142,N,VIIRS,n,2,285.37,5.59,D,0
40.95362,23.84929,329.52,0.52,0.41,2023-02-06,1142,N,VIIRS,n,2,287.27,8.22,D,0
40.69939,22.71168,334.18,0.47,0.39,2023-02-06,1142,N,VIIRS,n,2,281.47,3.55,D,0
40.93176,23.67455,332.65,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,284.51,4.85,D,0
40.94865,23.81196,325.65,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,286.01,3.11,D,0
40.91559,23.81409,327.5,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,285.26,2.05,D,0
40.85373,24.13061,326.83,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,283.5,4.19,D,0
41.06693,25.07386,329.29,0.4,0.37,2023-02-07,1123,N,VIIRS,n,2,280.94,2.46,D,0
40.95053,24.24177,330.86,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,285.92,2.05,D,0
40.96442,23.59526,329.51,0.38,0.36,2023-02-07,1123,N,VIIRS,n,2,284.28,3.59,D,0
40.61837,22.67172,334.81,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,284.48,5.11,D,0
40.60336,22.79358,343.9,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,287.73,10.04,D,0
40.59661,22.83775,329.04,0.38,0.36,2023-02-07,1123,N,VIIRS,n,2,281.72,1.93,D,0
40.72743,24.03312,333.14,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,283.52,3.14,D,0
40.62352,22.66088,330.31,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,283.92,1.75,D,0
40.62752,22.66451,328.52,0.39,0.36,2023-02-07,1123,N,VIIRS,n,2,282.8,1.75,D,0
40.92548,23.5865,328.41,0.38,0.36,2023-02-07,1123,N,VIIRS,n,2,286.63,4.11,D,0
40.73647,22.82731,300.62,0.33,0.55,2023-02-07,2341,N,VIIRS,n,2,267.47,0.53,N,0
40.73132,22.82666,298.36,0.33,0.55,2023-02-07,2341,N,VIIRS,n,2,267.45,0.46,N,0
40.73498,22.82492,310.7,0.33,0.55,2023-02-07,2341,N,VIIRS,n,2,267.64,1.19,N,0
40.68202,22.66873,307.6,0.34,0.56,2023-02-07,2341,N,VIIRS,n,2,268.5,0.74,N,0
40.73619,22.82771,301.91,0.45,0.63,2023-02-08,0122,N,VIIRS,n,2,267.32,1.32,N,0
40.68016,22.67365,331.9,0.51,0.41,2023-02-08,1104,N,VIIRS,n,2,282.84,3.53,D,0
40.58783,22.78312,331.98,0.51,0.41,2023-02-08,1104,N,VIIRS,n,2,284.16,6.51,D,0
40.84994,24.12826,329.1,0.45,0.39,2023-02-08,1104,N,VIIRS,n,2,281.38,3.02,D,0
40.94508,24.70022,327.9,0.43,0.38,2023-02-08,1104,N,VIIRS,n,2,281.4,2.46,D,0
40.946,24.70525,329.3,0.43,0.38,2023-02-08,1104,N,VIIRS,n,2,281.59,3.72,D,0
40.53791,22.67384,332.66,0.51,0.41,2023-02-08,1104,N,VIIRS,n,2,280.93,4.72,D,0
39.64837,20.91441,327.75,0.43,0.46,2023-02-08,1104,N,VIIRS,n,2,280.9,2.21,D,0
