latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.91757,23.07494,296.11,0.48,0.4,2022-01-01,0038,N,VIIRS,n,2,284.36,1.11,N,2
39.35532,22.98687,298.13,0.46,0.39,2022-01-01,0038,N,VIIRS,n,2,280.02,1.27,N,2
38.1293,23.52622,297.14,0.38,0.36,2022-01-02,0019,N,VIIRS,n,2,283.3,0.39,N,2
37.91838,23.07353,301.25,0.38,0.36,2022-01-02,0019,N,VIIRS,n,2,286.23,1.04,N,2
38.03137,23.60731,295.02,0.38,0.36,2022-01-02,0019,N,VIIRS,n,2,284.24,0.65,N,0
38.03535,23.6038,296.2,0.38,0.36,2022-01-02,0019,N,VIIRS,n,2,284.87,0.57,N,0
39.25905,25.89058,344.85,0.74,0.76,2022-01-02,1001,N,VIIRS,n,2,283.33,14.13,D,0
37.39694,24.45135,335.43,0.51,0.41,2022-01-02,1140,N,VIIRS,n,2,289,3.6,D,0
37.39601,24.45039,328.95,0.51,0.41,2022-01-02,1140,N,VIIRS,n,2,289.95,4.69,D,0
40.55625,21.40961,326.26,0.42,0.38,2022-01-02,1141,N,VIIRS,n,2,288.02,2.23,D,0
41.10604,23.36292,338.62,0.5,0.41,2022-01-02,1141,N,VIIRS,n,2,294.14,17.44,D,0
41.11158,23.34352,336.14,0.5,0.41,2022-01-02,1141,N,VIIRS,n,2,291.48,14.54,D,0
38.56483,23.29496,295.55,0.5,0.41,2022-01-03,0000,N,VIIRS,n,2,281.84,0.95,N,2
35.23008,25.13366,326.09,0.38,0.36,2022-01-03,1121,N,VIIRS,n,2,291.11,1.92,D,0
36.80048,25.86531,329.77,0.39,0.37,2022-01-03,1121,N,VIIRS,n,2,291.13,2.2,D,0
35.15386,24.67822,325.62,0.38,0.36,2022-01-03,1121,N,VIIRS,n,2,292.38,1.92,D,0
37.36651,24.39945,329.57,0.38,0.36,2022-01-03,1121,N,VIIRS,n,2,292.48,2,D,3
41.10103,23.36271,331.75,0.38,0.36,2022-01-03,1122,N,VIIRS,n,2,288.29,3.59,D,0
40.60041,22.22347,329.13,0.39,0.36,2022-01-03,1122,N,VIIRS,n,2,290.14,4.09,D,0
41.04423,23.39021,329,0.38,0.36,2022-01-03,1122,N,VIIRS,n,2,288.15,4.69,D,0
39.62338,21.70339,336.76,0.4,0.37,2022-01-03,1122,N,VIIRS,n,2,290.25,1.5,D,0
39.63854,21.68612,341.92,0.4,0.37,2022-01-03,1122,N,VIIRS,n,2,292.24,6.91,D,0
41.10171,23.36726,330.15,0.38,0.36,2022-01-03,1122,N,VIIRS,n,2,288.56,2.84,D,0
38.56501,23.29541,302.63,0.58,0.52,2022-01-03,2341,N,VIIRS,n,2,282.32,2.01,N,2
38.45181,26.14546,299.01,0.41,0.45,2022-01-03,2341,N,VIIRS,n,2,283.13,0.55,N,0
38.56258,23.29511,297.27,0.56,0.69,2022-01-04,0121,N,VIIRS,n,2,280.53,1.68,N,2
38.56595,23.29797,296.14,0.56,0.69,2022-01-04,0121,N,VIIRS,n,2,280.71,1.2,N,2
38.0836,24.53658,337.59,0.45,0.63,2022-01-04,2322,N,VIIRS,n,2,278.98,3.51,N,0
38.08551,24.53583,335.25,0.45,0.63,2022-01-04,2322,N,VIIRS,n,2,279.83,3.88,N,0
39.35598,22.98359,297.51,0.6,0.53,2022-01-05,0102,N,VIIRS,n,2,281.37,1,N,2
38.08361,24.53861,297.41,0.39,0.59,2022-01-05,0103,N,VIIRS,n,2,278.24,1.25,N,0
38.08239,24.54324,323.66,0.39,0.59,2022-01-05,0103,N,VIIRS,n,2,279.01,1.25,N,0
38.03936,23.51265,296.04,0.34,0.56,2022-01-05,0103,N,VIIRS,n,2,284.39,0.82,N,0
38.03833,23.51656,296.6,0.34,0.56,2022-01-05,0103,N,VIIRS,n,2,284.07,0.82,N,0
37.9192,23.07184,295.48,0.33,0.55,2022-01-05,0103,N,VIIRS,n,2,285.13,0.51,N,2
37.91825,23.07554,295.88,0.33,0.55,2022-01-05,0103,N,VIIRS,n,2,285.06,0.51,N,2
38.37581,24.06348,300.38,0.36,0.57,2022-01-05,0103,N,VIIRS,n,2,283.94,0.55,N,2
38.56498,23.29387,304,0.32,0.55,2022-01-05,0103,N,VIIRS,n,2,281.94,0.83,N,2
38.08365,24.54418,320.94,0.39,0.59,2022-01-05,0103,N,VIIRS,n,2,279.01,1.18,N,0
38.08488,24.53965,300.45,0.39,0.59,2022-01-05,0103,N,VIIRS,n,2,279.07,1.18,N,0
40.05996,22.2012,328.29,0.52,0.67,2022-01-05,1225,N,VIIRS,n,2,290.44,2.9,D,0
39.35397,22.98186,295.07,0.53,0.42,2022-01-06,0044,N,VIIRS,n,2,284.63,0.86,N,0
38.37439,24.06233,299.49,0.41,0.45,2022-01-06,0044,N,VIIRS,n,2,284.8,0.52,N,2
38.03822,23.51457,300.04,0.39,0.44,2022-01-06,0044,N,VIIRS,n,2,284.19,1.63,N,0
38.33374,21.8456,299.63,0.49,0.4,2022-01-06,0044,N,VIIRS,n,2,284.16,0.86,N,0
37.86152,22.47023,329.04,0.53,0.42,2022-01-06,0044,N,VIIRS,n,2,280.39,2.98,N,0
37.85282,22.47334,314.07,0.53,0.42,2022-01-06,0044,N,VIIRS,n,2,280.34,1.94,N,0
37.84885,22.45331,353.65,0.53,0.42,2022-01-06,0044,N,VIIRS,n,2,289.2,35.7,N,0
37.84511,22.45193,312.25,0.53,0.42,2022-01-06,0044,N,VIIRS,n,2,276.7,1.7,N,0
35.21639,24.61794,327.34,0.35,0.57,2022-01-06,1205,N,VIIRS,n,2,286.47,2.08,D,0
38.28111,23.44702,347.89,0.33,0.55,2022-01-06,1206,N,VIIRS,n,2,289.12,3.53,D,0
39.27445,25.89514,326.76,0.45,0.63,2022-01-06,1206,N,VIIRS,n,2,288.22,1.81,D,0
36.36855,28.21043,330.06,0.48,0.4,2022-01-10,1049,N,VIIRS,n,2,285.04,4.25,D,0
34.99284,25.5117,328.35,0.52,0.5,2022-01-12,1152,N,VIIRS,n,2,284.06,6.86,D,0
40.70755,22.81326,295.99,0.43,0.38,2022-01-13,0012,N,VIIRS,n,2,271.1,0.52,N,2
40.70408,22.81246,298.35,0.43,0.38,2022-01-13,0012,N,VIIRS,n,2,270.51,0.52,N,0
38.56497,23.29294,296.07,0.36,0.57,2022-01-14,2335,N,VIIRS,n,2,279.47,0.74,N,2
37.88417,21.17938,329.38,0.54,0.51,2022-01-15,1056,N,VIIRS,n,2,285.54,3.2,D,0
39.98881,25.2004,330.12,0.53,0.5,2022-01-16,1038,N,VIIRS,n,2,281.49,3.39,D,0
39.95298,25.07131,336.79,0.54,0.51,2022-01-16,1038,N,VIIRS,n,2,281.56,4.18,D,0
38.56539,23.29306,315.88,0.48,0.4,2022-01-17,0037,N,VIIRS,n,2,282.37,1.97,N,2
39.35274,22.98759,302.96,0.45,0.39,2022-01-17,0037,N,VIIRS,n,2,277.61,1.19,N,2
37.66523,24.36378,338.76,0.58,0.7,2022-01-17,1019,N,VIIRS,n,2,282,6.88,D,0
37.66727,24.37049,340.42,0.58,0.7,2022-01-17,1019,N,VIIRS,n,2,281.62,6.88,D,0
35.09734,25.89771,341.84,0.34,0.56,2022-01-17,1158,N,VIIRS,n,2,290.25,3.98,D,0
41.09023,23.36296,335.65,0.56,0.52,2022-01-17,1200,N,VIIRS,n,2,283.77,5.68,D,0
39.35378,22.98672,304.67,0.39,0.36,2022-01-18,0018,N,VIIRS,n,2,277.66,0.5,N,2
38.56721,23.29607,308.28,0.38,0.36,2022-01-18,0019,N,VIIRS,n,2,279.16,1.97,N,3
38.03493,23.59133,295.72,0.38,0.36,2022-01-18,0019,N,VIIRS,n,2,280.43,0.71,N,0
37.91883,23.07486,295.27,0.38,0.36,2022-01-18,0019,N,VIIRS,n,2,282.48,1.11,N,2
