event_id,aoi_id,evidence_type,cause_supported,date_min_product,date_max_product,burned_pixel_centers_in_aoi,all_pixel_centers_in_aoi,date_uncertainty_days_min,date_uncertainty_days_max,source_id,evidence_file,qa_file,context_url,limitations
RU_MORDOVIA_03_MODIS_FIRE_202108,RU_MORDOVIA_03,внешний продукт гарей,признак горения по продукту MODIS,2021-08-05,2021-08-22,60,88,1,7,MODIS_MCD64A1_061,RU_MORDOVIA_03/MODIS/MCD64A1.A2021213.h20v03.061.2021309115600_Burn_Date.tif,RU_MORDOVIA_03/MODIS/MCD64A1.A2021213.h20v03.061.2021309115600_QA.tif,https://mchs.gov.ru/deyatelnost/press-centr/novosti/4541896,Событие выделено по продукту MODIS. Точный контур пожара и наземные измерения отсутствуют. Сообщение МЧС относится к региону.
RU_MORDOVIA_04_MODIS_FIRE_202108,RU_MORDOVIA_04,внешний продукт гарей,признак горения по продукту MODIS,2021-08-03,2021-08-08,88,88,2,10,MODIS_MCD64A1_061,RU_MORDOVIA_04/MODIS/MCD64A1.A2021213.h20v03.061.2021309115600_Burn_Date.tif,RU_MORDOVIA_04/MODIS/MCD64A1.A2021213.h20v03.061.2021309115600_QA.tif,https://mchs.gov.ru/deyatelnost/press-centr/novosti/4541896,Событие выделено по продукту MODIS. Точный контур пожара и наземные измерения отсутствуют. Сообщение МЧС относится к региону.
