aoi_id,name,region,analysis_start_year,analysis_end_year,area_ha,selection_role,project_status,stand_age,dominant_species,site_class,bbox_west,bbox_south,bbox_east,bbox_north,baseline_id
RU_TVER_01,Тверская область контрольный участок,Тверская область,2019,2024,1750.4731,контрольный участок,исследовательский участок,,,,32.91,56.59,32.974,56.63,HIST-AGB-2015-2019-v1
RU_VOLOGDA_02,Вологодская область мозаика потерь покрова,Вологодская область,2019,2024,1617.7075,недавние потери покрова с неустановленной причиной,исследовательский участок,,,,40.66975,59.43,40.73375,59.47,HIST-AGB-2015-2019-v1
RU_MORDOVIA_03,Мордовия пожар и повторные нарушения,Республика Мордовия,2019,2024,1829.5984,повторные нарушения и пожар,исследовательский участок,,,,43.17,54.85025,43.234,54.89025,HIST-AGB-2015-2019-v1
RU_MORDOVIA_04,Мордовия ранняя потеря покрова и пожар 2021 года,Республика Мордовия,2019,2024,1832.7456,ранние потери покрова и последующий пожар,исследовательский участок,,,,43.18,54.78025,43.244,54.82025,HIST-AGB-2015-2019-v1
